source,sourcewell,destination,destinationwell,volume,originalwell,time
culture_plate2,A3,culture_plate2,A3,0,A3,0
culture_plate2,A2,culture_plate2,A2,0,A2,0
culture_plate2,A1,culture_plate2,A1,0,A1,0
carrier50mltubes,11,culture_plate2,B1,299.0,A1,18550
culture_plate2,A1,culture_plate2,B1,65.0,A1,18550
carrier50mltubes,11,culture_plate2,B3,299.0,A3,21236
culture_plate2,A3,culture_plate2,B3,65.0,A3,21236
carrier50mltubes,11,culture_plate2,B2,299.0,A2,21236
culture_plate2,A2,culture_plate2,B2,65.0,A2,21236
carrier50mltubes,12,culture_plate2,C1,299.0,A1,32613
culture_plate2,B1,culture_plate2,C1,65.0,A1,32613
carrier50mltubes,12,culture_plate2,C3,299.0,A3,35291
culture_plate2,B3,culture_plate2,C3,65.0,A3,35291
carrier50mltubes,12,culture_plate2,C2,299.0,A2,35291
culture_plate2,B2,culture_plate2,C2,65.0,A2,35291
carrier50mltubes,12,culture_plate2,D1,299.0,A1,46668
culture_plate2,C1,culture_plate2,D1,65.0,A1,46668
carrier50mltubes,12,culture_plate2,D3,299.0,A3,49346
culture_plate2,C3,culture_plate2,D3,65.0,A3,49346
carrier50mltubes,12,culture_plate2,D2,299.0,A2,49346
culture_plate2,C2,culture_plate2,D2,65.0,A2,49346
carrier50mltubes,12,culture_plate2,E1,299.0,A1,60726
culture_plate2,D1,culture_plate2,E1,65.0,A1,60726
carrier50mltubes,12,culture_plate2,E3,299.0,A3,63404
culture_plate2,D3,culture_plate2,E3,65.0,A3,63404
carrier50mltubes,12,culture_plate2,E2,299.0,A2,63404
culture_plate2,D2,culture_plate2,E2,65.0,A2,63404
carrier50mltubes,12,culture_plate2,F1,299.0,A1,74779
culture_plate2,E1,culture_plate2,F1,65.0,A1,74779
carrier50mltubes,12,culture_plate2,F3,299.0,A3,77457
culture_plate2,E3,culture_plate2,F3,65.0,A3,77457
carrier50mltubes,12,culture_plate2,F2,299.0,A2,77457
culture_plate2,E2,culture_plate2,F2,65.0,A2,77457
carrier50mltubes,12,culture_plate2,G1,299.0,A1,88835
culture_plate2,F1,culture_plate2,G1,65.0,A1,88835
carrier50mltubes,12,culture_plate2,G3,299.0,A3,91513
culture_plate2,F3,culture_plate2,G3,65.0,A3,91513
carrier50mltubes,12,culture_plate2,G2,299.0,A2,91513
culture_plate2,F2,culture_plate2,G2,65.0,A2,91513
carrier50mltubes,12,culture_plate2,H1,299.0,A1,102890
culture_plate2,G1,culture_plate2,H1,65.0,A1,102890
carrier50mltubes,12,culture_plate2,H3,299.0,A3,105569
culture_plate2,G3,culture_plate2,H3,65.0,A3,105569
carrier50mltubes,12,culture_plate2,H2,299.0,A2,105569
culture_plate2,G2,culture_plate2,H2,65.0,A2,105569
