source,sourcewell,destination,destinationwell,volume,originalwell,time
culture_plate2,A6,culture_plate2,A6,0,A6,0
culture_plate2,A5,culture_plate2,A5,0,A5,0
culture_plate2,A4,culture_plate2,A4,0,A4,0
carrier50mltubes,11,culture_plate2,B6,299.0,A6,19796
culture_plate2,A6,culture_plate2,B6,65.0,A6,19796
carrier50mltubes,11,culture_plate2,B5,299.0,A5,19796
culture_plate2,A5,culture_plate2,B5,65.0,A5,19796
carrier50mltubes,11,culture_plate2,B4,299.0,A4,22496
culture_plate2,A4,culture_plate2,B4,65.0,A4,22496
carrier50mltubes,12,culture_plate2,C6,299.0,A6,33862
culture_plate2,B6,culture_plate2,C6,65.0,A6,33862
carrier50mltubes,12,culture_plate2,C5,299.0,A5,33862
culture_plate2,B5,culture_plate2,C5,65.0,A5,33862
carrier50mltubes,12,culture_plate2,C4,299.0,A4,36555
culture_plate2,B4,culture_plate2,C4,65.0,A4,36555
carrier50mltubes,12,culture_plate2,D6,299.0,A6,47918
culture_plate2,C6,culture_plate2,D6,65.0,A6,47918
carrier50mltubes,12,culture_plate2,D5,299.0,A5,47918
culture_plate2,C5,culture_plate2,D5,65.0,A5,47918
carrier50mltubes,12,culture_plate2,D4,299.0,A4,50617
culture_plate2,C4,culture_plate2,D4,65.0,A4,50617
carrier50mltubes,12,culture_plate2,E6,299.0,A6,61999
culture_plate2,D6,culture_plate2,E6,65.0,A6,61999
carrier50mltubes,12,culture_plate2,E5,299.0,A5,61999
culture_plate2,D5,culture_plate2,E5,65.0,A5,61999
carrier50mltubes,12,culture_plate2,E4,299.0,A4,65932
culture_plate2,D4,culture_plate2,E4,65.0,A4,65932
carrier50mltubes,12,culture_plate2,F6,299.0,A6,76058
culture_plate2,E6,culture_plate2,F6,65.0,A6,76058
carrier50mltubes,12,culture_plate2,F5,299.0,A5,76058
culture_plate2,E5,culture_plate2,F5,65.0,A5,76058
carrier50mltubes,12,culture_plate2,F4,299.0,A4,79994
culture_plate2,E4,culture_plate2,F4,65.0,A4,79994
carrier50mltubes,12,culture_plate2,G6,299.0,A6,90120
culture_plate2,F6,culture_plate2,G6,65.0,A6,90120
carrier50mltubes,12,culture_plate2,G5,299.0,A5,90120
culture_plate2,F5,culture_plate2,G5,65.0,A5,90120
carrier50mltubes,12,culture_plate2,G4,299.0,A4,94059
culture_plate2,F4,culture_plate2,G4,65.0,A4,94059
carrier50mltubes,12,culture_plate2,H6,299.0,A6,104183
culture_plate2,G6,culture_plate2,H6,65.0,A6,104183
carrier50mltubes,12,culture_plate2,H5,299.0,A5,104183
culture_plate2,G5,culture_plate2,H5,65.0,A5,104183
carrier50mltubes,12,culture_plate2,H4,299.0,A4,108116
culture_plate2,G4,culture_plate2,H4,65.0,A4,108116
