source,sourcewell,destination,destinationwell,volume,originalwell,time
culture_plate2,A9,culture_plate2,A9,0,A9,0
culture_plate2,A8,culture_plate2,A8,0,A8,0
culture_plate2,A7,culture_plate2,A7,0,A7,0
carrier50mltubes,11,culture_plate2,B9,299.0,A9,22281
culture_plate2,A9,culture_plate2,B9,65.0,A9,22281
carrier50mltubes,11,culture_plate2,B8,299.0,A8,22281
culture_plate2,A8,culture_plate2,B8,65.0,A8,22281
carrier50mltubes,11,culture_plate2,B7,299.0,A7,22281
culture_plate2,A7,culture_plate2,B7,65.0,A7,22281
carrier50mltubes,12,culture_plate2,C9,299.0,A9,36173
culture_plate2,B9,culture_plate2,C9,65.0,A9,36173
carrier50mltubes,12,culture_plate2,C8,299.0,A8,36173
culture_plate2,B8,culture_plate2,C8,65.0,A8,36173
carrier50mltubes,12,culture_plate2,C7,299.0,A7,36173
culture_plate2,B7,culture_plate2,C7,65.0,A7,36173
carrier50mltubes,12,culture_plate2,D9,299.0,A9,50044
culture_plate2,C9,culture_plate2,D9,65.0,A9,50044
carrier50mltubes,12,culture_plate2,D8,299.0,A8,50044
culture_plate2,C8,culture_plate2,D8,65.0,A8,50044
carrier50mltubes,12,culture_plate2,D7,299.0,A7,50044
culture_plate2,C7,culture_plate2,D7,65.0,A7,50044
carrier50mltubes,12,culture_plate2,E9,299.0,A9,63923
culture_plate2,D9,culture_plate2,E9,65.0,A9,63923
carrier50mltubes,12,culture_plate2,E8,299.0,A8,63923
culture_plate2,D8,culture_plate2,E8,65.0,A8,63923
carrier50mltubes,12,culture_plate2,E7,299.0,A7,63923
culture_plate2,D7,culture_plate2,E7,65.0,A7,63923
carrier50mltubes,12,culture_plate2,F9,299.0,A9,77805
culture_plate2,E9,culture_plate2,F9,65.0,A9,77805
carrier50mltubes,12,culture_plate2,F8,299.0,A8,77805
culture_plate2,E8,culture_plate2,F8,65.0,A8,77805
carrier50mltubes,12,culture_plate2,F7,299.0,A7,77805
culture_plate2,E7,culture_plate2,F7,65.0,A7,77805
carrier50mltubes,12,culture_plate2,G9,299.0,A9,91677
culture_plate2,F9,culture_plate2,G9,65.0,A9,91677
carrier50mltubes,12,culture_plate2,G8,299.0,A8,91677
culture_plate2,F8,culture_plate2,G8,65.0,A8,91677
carrier50mltubes,12,culture_plate2,G7,299.0,A7,91677
culture_plate2,F7,culture_plate2,G7,65.0,A7,91677
carrier50mltubes,12,culture_plate2,H9,299.0,A9,105550
culture_plate2,G9,culture_plate2,H9,65.0,A9,105550
carrier50mltubes,12,culture_plate2,H8,299.0,A8,105550
culture_plate2,G8,culture_plate2,H8,65.0,A8,105550
carrier50mltubes,12,culture_plate2,H7,299.0,A7,105550
culture_plate2,G7,culture_plate2,H7,65.0,A7,105550
