source,sourcewell,destination,destinationwell,volume,originalwell,time
culture_plate2,A11,culture_plate2,A11,0,A11,0
culture_plate2,A10,culture_plate2,A10,0,A10,0
culture_plate2,A9,culture_plate2,A9,0,A9,0
carrier50mltubes,11,culture_plate2,B10,299.0,A10,17309
culture_plate2,A10,culture_plate2,B10,65.0,A10,17309
carrier50mltubes,11,culture_plate2,B9,299.0,A9,18753
culture_plate2,A9,culture_plate2,B9,65.0,A9,18753
carrier50mltubes,11,culture_plate2,B11,299.0,A11,20194
culture_plate2,A11,culture_plate2,B11,65.0,A11,20194
carrier50mltubes,12,culture_plate2,C10,299.0,A10,30321
culture_plate2,B10,culture_plate2,C10,65.0,A10,30321
carrier50mltubes,12,culture_plate2,C11,299.0,A11,33000
culture_plate2,B11,culture_plate2,C11,65.0,A11,33000
carrier50mltubes,12,culture_plate2,C9,299.0,A9,33000
culture_plate2,B9,culture_plate2,C9,65.0,A9,33000
carrier50mltubes,12,culture_plate2,D10,299.0,A10,44375
culture_plate2,C10,culture_plate2,D10,65.0,A10,44375
carrier50mltubes,12,culture_plate2,D11,299.0,A11,47054
culture_plate2,C11,culture_plate2,D11,65.0,A11,47054
carrier50mltubes,12,culture_plate2,D9,299.0,A9,47054
culture_plate2,C9,culture_plate2,D9,65.0,A9,47054
carrier50mltubes,12,culture_plate2,E10,299.0,A10,58436
culture_plate2,D10,culture_plate2,E10,65.0,A10,58436
carrier50mltubes,12,culture_plate2,E11,299.0,A11,61115
culture_plate2,D11,culture_plate2,E11,65.0,A11,61115
carrier50mltubes,12,culture_plate2,E9,299.0,A9,61115
culture_plate2,D9,culture_plate2,E9,65.0,A9,61115
carrier50mltubes,12,culture_plate2,F10,299.0,A10,72490
culture_plate2,E10,culture_plate2,F10,65.0,A10,72490
carrier50mltubes,12,culture_plate2,F11,299.0,A11,75169
culture_plate2,E11,culture_plate2,F11,65.0,A11,75169
carrier50mltubes,12,culture_plate2,F9,299.0,A9,75169
culture_plate2,E9,culture_plate2,F9,65.0,A9,75169
carrier50mltubes,12,culture_plate2,G10,299.0,A10,86547
culture_plate2,F10,culture_plate2,G10,65.0,A10,86547
carrier50mltubes,12,culture_plate2,G11,299.0,A11,89226
culture_plate2,F11,culture_plate2,G11,65.0,A11,89226
carrier50mltubes,12,culture_plate2,G9,299.0,A9,89226
culture_plate2,F9,culture_plate2,G9,65.0,A9,89226
carrier50mltubes,12,culture_plate2,H10,299.0,A10,100603
culture_plate2,G10,culture_plate2,H10,65.0,A10,100603
carrier50mltubes,12,culture_plate2,H11,299.0,A11,103282
culture_plate2,G11,culture_plate2,H11,65.0,A11,103282
carrier50mltubes,12,culture_plate2,H9,299.0,A9,103282
culture_plate2,G9,culture_plate2,H9,65.0,A9,103282
