 ,Area,Mean,Min,Max,Ch,Frame
1,4.829,361.638,146,722,1,1
2,4.829,103.483,97,111,2,1
3,4.829,376.855,152,754,1,2
4,4.829,103.879,98,111,2,2
5,4.829,362.969,145,737,1,3
6,4.829,103.809,98,109,2,3
7,4.829,331.027,140,680,1,4
8,4.829,103.853,99,111,2,4
9,4.829,370.819,156,775,1,5
10,4.829,103.908,98,110,2,5
11,4.829,340.065,145,682,1,6
12,4.829,104.329,95,113,2,6
13,4.829,330.36,144,635,1,7
14,4.829,104.082,98,111,2,7
15,4.829,325.819,138,640,1,8
16,4.829,104.256,97,111,2,8
17,4.829,320.92,129,611,1,9
18,4.829,103.899,97,111,2,9
19,4.829,321.65,127,661,1,10
20,4.829,104.483,97,112,2,10
21,4.829,302.715,149,580,1,11
22,4.829,104.645,100,112,2,11
23,4.829,293.225,148,537,1,12
24,4.829,104.64,100,111,2,12
25,4.829,308.394,143,591,1,13
26,4.829,104.664,100,111,2,13
27,4.829,295.435,141,582,1,14
28,4.829,104.621,100,111,2,14
29,4.829,285.099,134,549,1,15
30,4.829,104.669,98,114,2,15
31,4.829,294.135,139,570,1,16
32,4.829,104.833,96,115,2,16
33,4.829,301.019,137,584,1,17
34,4.829,104.676,98,113,2,17
35,4.829,302.652,140,630,1,18
36,4.829,104.928,98,113,2,18
37,4.829,326.643,147,643,1,19
38,4.829,109.742,100,132,2,19
39,4.829,329.638,140,641,1,20
40,4.829,138.877,104,211,2,20
41,4.829,321.234,142,638,1,21
42,4.829,159.969,102,277,2,21
43,4.829,312.101,138,601,1,22
44,4.829,187.623,102,341,2,22
45,4.829,286.126,140,564,1,23
46,4.829,226.3,111,451,2,23
47,4.829,270.01,138,521,1,24
48,4.829,254.14,111,520,2,24
49,4.829,245.085,132,434,1,25
50,4.829,236.036,115,467,2,25
51,4.829,222.041,129,369,1,26
52,4.829,233.534,112,442,2,26
53,4.829,204.713,133,335,1,27
54,4.829,232.944,111,467,2,27
55,4.829,184.935,126,282,1,28
56,4.829,228.812,116,449,2,28
57,4.829,177.085,119,283,1,29
58,4.829,243.051,116,499,2,29
59,4.829,171.872,119,262,1,30
60,4.829,249.957,114,500,2,30
61,4.829,184.193,129,279,1,31
62,4.829,261.853,112,552,2,31
63,4.829,165.256,120,238,1,32
64,4.829,259.884,112,533,2,32
65,4.829,159.435,121,233,1,33
66,4.829,243.787,116,507,2,33
67,4.829,176.15,133,258,1,34
68,4.829,227.556,114,474,2,34
69,4.829,158.981,124,234,1,35
70,4.829,251.698,118,532,2,35
71,4.829,156.012,119,218,1,36
72,4.829,242.722,118,503,2,36
73,4.829,155.432,116,220,1,37
74,4.829,240.058,113,479,2,37
75,4.829,153.386,117,224,1,38
76,4.829,240.647,120,484,2,38
77,4.829,153.428,119,214,1,39
78,4.829,246.092,112,513,2,39
79,4.829,150.512,121,207,1,40
80,4.829,240.686,119,504,2,40
81,4.829,153.785,121,212,1,41
82,4.829,248.461,111,519,2,41
83,4.829,150.423,120,203,1,42
84,4.829,229.618,112,436,2,42
85,4.829,154.271,123,215,1,43
86,4.829,210.227,114,393,2,43
87,4.829,163.78,125,238,1,44
88,4.829,191.915,111,347,2,44
89,4.829,172.981,115,284,1,45
90,4.829,177.188,107,318,2,45
91,4.829,190.382,123,313,1,46
92,4.829,172.536,112,300,2,46
93,4.829,195.15,126,322,1,47
94,4.829,163.886,110,264,2,47
95,4.829,218.362,132,368,1,48
96,4.829,164.657,103,271,2,48
97,4.829,222.7,134,402,1,49
98,4.829,156.717,110,249,2,49
99,4.829,248.092,132,461,1,50
100,4.829,154.432,106,247,2,50
101,4.829,256.203,129,490,1,51
102,4.829,147.056,106,215,2,51
103,4.829,260.587,129,481,1,52
104,4.829,140.758,105,208,2,52
105,4.829,266.775,135,513,1,53
106,4.829,133.159,105,185,2,53
107,4.829,279.802,139,555,1,54
108,4.829,128.787,103,187,2,54
109,4.829,291.751,141,564,1,55
110,4.829,126.097,106,168,2,55
111,4.829,348.585,154,701,1,56
112,4.829,122,104,164,2,56
113,4.829,281.843,140,543,1,57
114,4.829,118.906,104,149,2,57
115,4.829,289.486,144,554,1,58
